Chromosome	Start
1A	567974170
1A	568005041
1A	568009974
1A	580569926
1B	25159271
1B	25365923
1B	25372603
1B	25377875
1B	26092733
1B	26116611
1B	26784994
1B	26816670
1B	34659609
1B	34662294
1B	35524234
1B	35532100
1B	35690255
1B	35714831
1B	35846402
1B	35874032
1B	35875646
1B	35934390
1B	36008634
1B	36033598
1B	36061496
1B	36094525
1B	36097618
1B	36112267
1B	36132778
1B	36135902
1B	36141281
1B	36147378
1B	36155083
1B	36228281
1B	36344712
1B	36420067
1B	36496888
1B	36521981
1B	36536082
1B	36545272
1B	36585160
1B	36588260
1B	36638003
1B	36643164
1B	36649270
1B	36672443
1B	36695572
1B	36718778
1B	36741957
1B	36783866
1B	36806907
1B	36830036
1B	36853176
1B	36876318
1B	36962036
1B	36964092
1B	37001979
1B	37012560
1B	37016383
1B	37032877
1B	37043508
1B	37047587
1B	37063821
1B	37074559
1B	37078336
1B	37135441
1B	37169131
1B	37181532
1B	37186915
1B	37188718
1B	37196731
1B	37199703
1B	37203236
1B	37239062
1B	37258162
1B	37260175
1B	37261844
1B	37282885
1B	37307898
1B	37320553
1B	37329530
1B	40656988
1B	40657886
1B	40659618
1B	40660424
1B	40679509
1B	40682136
1B	40684668
1B	40705103
1B	40877396
1B	40940648
1B	40963689
1B	40967212
1B	41000412
1B	41013863
1B	41040995
1B	41049144
1B	41156519
1B	41198881
1B	41619962
1B	41776983
1B	41796821
1B	41826480
1B	41829236
1B	42109753
1B	42252983
1B	42272495
1B	42323612
1B	42325313
1B	42333149
1B	42389025
1B	42392042
1B	42398174
1B	42500131
1B	42535620
1B	42554599
1B	42570799
1B	42590765
1B	42602518
1B	42661927
1B	42674890
1B	42678466
1B	42682018
1B	42767827
1B	42777830
1B	42783456
1B	42784935
1B	42890567
1B	42892257
1B	42895725
1B	42899489
1B	42906922
1B	42910219
1B	42914304
1B	42979016
1B	42980346
1B	42984641
1B	42999069
1B	43003797
1B	43030035
1B	43031332
1B	43162417
1B	43167917
1B	43184110
1B	43350248
1B	46616512
1B	46621273
1B	46629977
1B	46638591
1B	46832025
1B	46850469
1B	46863616
1B	47118329
1B	47790747
1B	47818967
1B	47825315
1B	47831254
1B	47846003
1B	47861202
1B	47868071
1B	47967481
1B	47986668
1B	47998678
1B	48066077
1B	48167938
1B	48171675
1B	48216636
1B	48222233
1B	52119327
1B	52121620
1B	52145903
1B	52147670
1B	52149264
1B	52151706
1B	52167695
1B	52171476
1B	52173190
1B	52198090
1B	52200038
1B	52201359
1B	52203531
1B	52220650
1B	75773528
1B	75776975
1B	75790501
1B	390874751
1B	391098380
1B	391102019
1B	391105902
1B	414633910
1B	414688700
1B	414700683
1B	427509562
1B	427638130
1B	427665669
1B	469511725
1B	469550763
1B	469567032
1B	469569774
1B	469582682
1B	469651117
1B	469692417
1B	469696016
1B	469728517
1B	469849677
1B	469869118
1B	469871034
1B	469880985
1B	469883625
1B	470115869
1B	546420588
1B	546422224
1B	546426950
1B	546429225
1B	549000862
1B	549002244
1B	549127281
1B	549162426
1B	549307356
1B	549319119
1B	549333587
1B	549497799
1B	549512040
1B	561972481
1B	566656480
1B	566733062
1B	566814990
1B	566856786
1B	566871799
1B	566879684
1B	566882779
1B	566908911
1B	567031269
1B	567033728
1B	567060411
1B	567187650
1B	567421424
1B	567436379
1B	567464440
1B	567499858
1B	567517678
1B	567523658
1B	567526819
1B	567531110
1B	567535909
1B	567538362
1B	567606541
1B	567646594
1B	567779558
1B	567817924
1B	567824132
1B	567883039
1B	567885703
1B	568007233
1B	568067065
1B	568076915
1B	568087733
1B	568117365
1B	568139023
1B	568206598
1B	568208753
1B	574443162
1B	574739095
1B	574745234
1B	575759643
1B	575823582
1B	578698681
1B	578701282
1B	578719987
1B	578725575
1B	578737163
1B	578766108
1B	578768709
1B	578780091
1B	578788321
1B	578848608
1B	578850887
1B	578858907
1B	578861910
1B	578863927
1B	579261167
1B	579334775
1B	579338571
1B	579340977
1B	579532113
1B	579538918
1B	579601092
1B	579610722
1B	579742833
1B	579770741
1B	579783621
1B	579788207
1B	579791664
1B	580280116
1B	580287005
1B	580372829
1B	580377725
1B	580382762
1B	580434388
1B	580442039
1B	580444002
1B	580470281
1B	580475460
1B	580502971
1B	580863898
1B	580865641
1B	580875100
1B	580880337
1B	581125169
1B	581145607
1B	581317149
1B	581344965
1B	581355031
1B	581360518
1B	581464560
1B	581467059
1B	581483702
1B	581488520
1B	581515159
1B	581532665
1B	581605093
1B	581609501
1B	581615669
1B	581653650
1B	581656215
1B	581688055
1B	581704680
1B	581711502
1B	581717188
1B	582285084
1B	582289080
1B	582310190
1B	582415544
1B	582476804
1B	582478040
1B	582489812
1B	582491337
1B	582581677
1B	582582888
1B	582594497
1B	582659403
1B	582660760
1B	582664154
1B	582666734
1B	582670056
1B	582680355
1B	582686818
1B	582742630
1B	582752093
1B	582754860
1B	582773684
1B	582782951
1B	582797837
1B	582816851
1B	582861000
1B	582888362
1B	582896074
1B	582948222
1B	582956940
1B	583168384
1B	583252259
1B	590609834
1B	590813834
1B	590826582
1B	590856364
1B	590885416
1B	590891383
1B	590896007
1B	590906985
1B	590919638
1B	590933204
1B	590948357
1B	590956496
1B	590963337
1B	590964859
1B	590970453
1B	590973820
1B	608560062
1B	608603145
1B	608609143
1B	608896335
1B	608909344
1B	609195241
1B	609222765
1B	609227125
1B	609229569
1B	609269388
1B	609288371
1B	609298420
1B	609322725
1B	609332510
1B	609360545
1B	609376191
1B	609394266
1B	609449076
1B	609484381
1B	609486863
1B	609515998
1B	609786068
1B	609944228
1B	609959682
1B	609976576
1B	610036460
1B	610058053
1B	610096866
1B	610147546
1B	610160681
1B	610363154
1B	610417615
1B	610522765
1B	610531059
1B	610622620
1B	610631422
1B	610632711
1B	610661969
1B	610663912
1B	610678172
1B	610695606
1B	610744687
1B	610765081
1B	610972240
1B	610989067
1B	610999352
1B	611783172
1B	611792356
1B	611797466
1B	611800501
1B	611816594
1B	611829974
1B	611935209
1B	611946316
1B	611956505
1B	612093917
1B	612272853
1B	612328081
1B	612362479
1B	612376173
1B	612390278
1B	612393724
1B	612426282
1B	612456479
1B	612514219
1B	612518743
1B	612519806
1B	612535428
1B	613224906
1B	613230512
1B	613836366
1B	613975308
1B	613982140
1B	614015590
1B	614183949
1B	614192419
1B	614349237
1B	614352068
1B	614357862
1B	616161677
1B	616167930
1B	616184534
1B	616240528
1B	616246135
1B	616251341
1B	616252848
1B	620098157
1B	629712845
1B	629715695
1B	629737539
1B	629743034
1B	629750603
1B	629752639
1B	629755914
1B	629792314
1B	629797913
1B	629799639
1B	629800776
1B	658318439
1B	658319961
1B	658335328
1B	658342404
1B	658344397
1B	658347273
1B	658359889
1B	658371584
1B	658372659
1B	658375016
1B	658421858
1B	658423138
1B	658428520
1B	658430332
1B	658432313
1B	658433628
1B	658474637
1B	658476516
1B	664073549
1B	681339055
1B	681340463
1B	681378905
1B	681382119
1B	681385302
1B	681388459
1B	681392563
1B	681395636
1B	681407719
1B	681420599
1B	686644688
1B	686685160
2A	7796346
2A	7811094
2A	7813848
2A	22338787
2A	22891070
2A	22919551
2A	22923827
2A	24010715
2A	24037921
2A	24056197
2A	24061965
2A	24073018
2A	24078949
2A	24082011
2A	24088312
2A	24298152
2A	24372112
2A	24384453
2A	24387882
2A	24412844
2A	24437609
2A	24443526
2A	24447589
2A	24485630
2A	24487229
2A	24490250
2A	24516026
2A	24517569
2A	24519547
2A	24521778
2A	24860642
2A	26383457
2A	26386037
2A	26401506
2A	26457533
2A	26465820
2A	26468520
2A	26471494
2A	26477588
2A	27348492
2A	27353075
2A	27440621
2A	27488628
2A	27494229
2A	27506329
2A	27508265
2A	27591685
2A	27606222
2A	27611779
2A	27630353
2A	27700201
2A	27704081
2A	27712939
2A	27729948
2A	27731517
2A	27745391
2A	27762331
2A	27814690
2A	27839767
2A	27852633
2A	27889225
2A	27904086
2A	27905166
2A	27911202
2A	27918328
2A	27955756
2A	27958307
2A	27965511
2A	28107860
2A	28187894
2A	28192700
2A	28333900
2A	28336304
2A	28339709
2A	28381444
2A	28387535
2A	28527673
2A	28531177
2A	28533481
2A	28562219
2A	28563706
2A	28566800
2A	28604841
2A	28779994
2A	28921179
2A	28951873
2A	29004826
2A	29010202
2A	29297560
2A	29300045
2A	29316629
2A	29331275
2A	29725811
2A	29793008
2A	29843081
2A	32766810
2A	41531207
2A	41538767
2A	41540986
2A	41548220
2A	41574937
2A	54782659
2A	54785964
2A	54795839
2A	54801079
2A	54804007
2A	54847020
2A	54973432
2A	55740401
2A	87588365
2A	119823518
2A	119825012
2A	124480215
2A	124481436
2A	124497306
2A	124501421
2A	124504054
2A	124768890
2A	480831469
2A	527454307
2A	527457931
2A	685649703
2A	696703490
2A	696834730
2A	696862768
2A	697172571
2A	697175021
2A	697225645
2A	702210513
2A	702224225
2A	702236829
2A	702314317
2A	702329027
2A	702413694
2A	702507619
2A	702536498
2A	702764586
2A	702773368
2A	724043947
2A	724045939
2A	727812373
2A	734822521
2A	734870227
2A	742936225
2A	742938447
2A	747554479
2A	747574269
2A	747594094
2A	751526441
2A	751561527
2A	751573309
2A	751590991
2A	751598108
2A	751829053
2A	751878004
2A	751890130
2B	10850619
2B	11196352
2B	11208906
2B	11223409
2B	11224982
2B	11250546
2B	11326780
2B	11328079
2B	11335129
2B	11339891
2B	11360972
2B	11387347
2B	11400783
2B	11407680
2B	11433927
2B	11445648
2B	11453606
2B	11490947
2B	11499334
2B	11558743
2B	11620261
2B	11635451
2B	11642523
2B	11679930
2B	11688471
2B	11747475
2B	11784827
2B	11811096
2B	11823750
2B	11831182
2B	11868684
2B	11876859
2B	11888595
2B	11896547
2B	11933602
2B	11942338
2B	12001932
2B	29408449
2B	35889571
2B	35907661
2B	35910046
2B	37008277
2B	37012560
2B	37025448
2B	37078363
2B	37097816
2B	37106583
2B	37254684
2B	37267173
2B	37273138
2B	37330051
2B	37356906
2B	37375883
2B	37377594
2B	39723185
2B	39744908
2B	39756223
2B	39767676
2B	39794203
2B	41919959
2B	41938140
2B	41961567
2B	41967002
2B	43683059
2B	43692415
2B	43698729
2B	43701392
2B	43710558
2B	43720113
2B	43733033
2B	43742356
2B	43746254
2B	43751308
2B	43752220
2B	43797117
2B	43800351
2B	43810155
2B	43836420
2B	43839309
2B	43848522
2B	43852103
2B	43856861
2B	44781400
2B	44790790
2B	44800084
2B	44802210
2B	44809267
2B	44818545
2B	44827813
2B	44856687
2B	44883587
2B	44895131
2B	44904274
2B	44927700
2B	44962046
2B	44977139
2B	45105613
2B	45108300
2B	45113095
2B	45117933
2B	45119831
2B	45120487
2B	45124979
2B	45126772
2B	45168813
2B	45181763
2B	45183981
2B	45219451
2B	45242025
2B	45243989
2B	45254685
2B	45256399
2B	45267479
2B	45282283
2B	45284537
2B	45305044
2B	45318037
2B	45334806
2B	45419737
2B	48796764
2B	60064834
2B	60068532
2B	60086098
2B	60213701
2B	60232433
2B	60251026
2B	60279762
2B	60350705
2B	67671907
2B	73535597
2B	85226775
2B	85232101
2B	85326152
2B	85328883
2B	85352456
2B	85370178
2B	143178813
2B	185589949
2B	185600453
2B	185602750
2B	379487974
2B	435272848
2B	435275067
2B	469839886
2B	469841321
2B	469843995
2B	477473842
2B	661687683
2B	661736387
2B	661779194
2B	661887456
2B	661889249
2B	661914789
2B	661969542
2B	661976742
2B	661979413
2B	661985489
2B	661991480
2B	661999556
2B	668016760
2B	668034004
2B	668037578
2B	668042159
2B	668046321
2B	668600922
2B	668653951
2B	668796300
2B	668857729
2B	668878459
2B	668899280
2B	668911893
2B	668934952
2B	668938898
2B	668974333
2B	669236877
2B	704318338
2B	704319522
2B	704383754
2B	722927720
2B	734484688
2B	734488670
2B	734523066
2B	734525166
2B	734535237
2B	734537166
2B	734539985
2B	741517726
2B	741519439
2B	741556585
2B	741560994
2B	741692045
2B	741724673
2B	741764516
2B	741807676
2B	749801713
2B	749809063
2B	749811853
2B	749813939
2B	749862296
2B	749919898
2B	749957542
2B	749960928
2B	777130730
2B	777169426
2B	777171040
2B	777223705
2B	777262425
2B	777263977
2B	777316618
2B	777318389
3A	5103524
3A	5106066
3A	5127746
3A	5168111
3A	5181016
3A	5198380
3A	5261503
3A	5274028
3A	5303698
3A	5308057
3A	5314511
3A	5370474
3A	5373118
3A	5374735
3A	5380260
3A	5396542
3A	5409574
3A	5574001
3A	5579097
3A	5614605
3A	5621501
3A	5651167
3A	5660102
3A	5672530
3A	5678156
3A	5685602
3A	5700648
3A	5703722
3A	5705550
3A	5738951
3A	5869375
3A	5873036
3A	5878811
3A	5879994
3A	5885156
3A	5888285
3A	5890918
3A	5893990
3A	5895672
3A	5898651
3A	5901046
3A	5915885
3A	5917535
3A	5976739
3A	5996080
3A	6069479
3A	6096864
3A	6115914
3A	6146025
3A	6155081
3A	6167108
3A	6253580
3A	6255818
3A	6259971
3A	6264212
3A	6284339
3A	6286878
3A	6289891
3A	6294625
3A	6334802
3A	6342964
3A	6344552
3A	6352719
3A	6354744
3A	6357992
3A	6364305
3A	6388182
3A	10203421
3A	10240891
3A	10470271
3A	10970735
3A	10973815
3A	12971766
3A	13009847
3A	13013161
3A	13017566
3A	13036399
3A	13049494
3A	13072271
3A	13074396
3A	13077700
3A	22398869
3A	22406889
3A	22413148
3A	22414946
3A	22446886
3A	22465816
3A	22477667
3A	22492808
3A	22497183
3A	22521176
3A	22531536
3A	22538760
3A	22546323
3A	22549063
3A	22572895
3A	22588452
3A	22597774
3A	22603008
3A	26396167
3A	26405759
3A	26463073
3A	26501287
3A	26547458
3A	26617375
3A	26626009
3A	26631191
3A	26633371
3A	26745964
3A	26823995
3A	26833230
3A	26850287
3A	26897129
3A	26899499
3A	27189634
3A	27236387
3A	27368709
3A	27377822
3A	27381172
3A	27448463
3A	27501293
3A	27547350
3A	27555557
3A	27603040
3A	27694069
3A	27703088
3A	27713649
3A	27736374
3A	27756877
3A	27771006
3A	27777250
3A	27784761
3A	27788332
3A	27791374
3A	27901552
3A	27926306
3A	27954644
3A	27996942
3A	28060692
3A	28210586
3A	28218217
3A	28224609
3A	28246419
3A	28250553
3A	28484308
3A	28516627
3A	29081133
3A	29437405
3A	29493110
3A	29519950
3A	29573953
3A	29594422
3A	29596436
3A	29615829
3A	29635120
3A	29745629
3A	29746638
3A	29776196
3A	29864652
3A	29867467
3A	29869485
3A	29873132
3A	29875294
3A	32149576
3A	32163521
3A	32243360
3A	32257162
3A	32347512
3A	32474147
3A	32488146
3A	32489942
3A	32494308
3A	32776474
3A	32789391
3A	32792795
3A	33231347
3A	33320981
3A	33324297
3A	33543723
3A	33582177
3A	33591381
3A	33610044
3A	33612715
3A	33622001
3A	33636027
3A	33639591
3A	33663851
3A	33692608
3A	33696604
3A	33706689
3A	33723243
3A	33741271
3A	33750337
3A	33759546
3A	34188443
3A	38705499
3A	38713982
3A	38806927
3A	49530541
3A	49535098
3A	49536786
3A	49538850
3A	79320680
3A	79323850
3A	203977350
3A	203978721
3A	577288128
3A	577661224
3A	577707507
3A	577743336
3A	633825903
3A	644826830
3A	644830992
3A	644833218
3A	644848009
3A	645005223
3A	645011339
3A	645035006
3A	645038582
3A	645054690
3A	645059764
3A	645063345
3A	645089797
3A	645093909
3A	652719408
3A	652721928
3A	666055735
3A	666058298
3A	666192105
3A	669256204
3A	669257074
3A	669309241
3A	669325177
3A	669476325
3A	689465921
3A	689467621
3A	689538293
3A	689566218
3A	689572005
3A	689626913
3A	689641139
3A	689648376
3A	689666152
3A	689674336
3A	689681657
3A	689698455
3A	689721096
3A	689723708
3A	689736252
3A	689869529
3A	689895047
3A	689897878
3A	689973130
3A	690094833
3A	700345606
3A	700513744
3A	700632068
3A	703485318
3A	703496034
3A	703598565
3A	703612884
3A	703618709
3A	703625001
3A	703669290
3A	703671774
3A	703679862
3A	703685777
3A	703911958
3A	703919759
3A	703936014
3A	703937589
3A	704007732
3A	704009452
3A	704015585
3A	704020302
3A	704030153
3A	704037727
3A	704121998
3A	704580970
3A	704618940
3A	704678382
3A	704684281
3A	704783593
3A	704842120
3A	704859281
3A	704864435
3A	704885029
3A	704887791
3A	704895100
3A	704918242
3A	704976413
3A	705010237
3A	705011896
3A	705014742
3A	705021039
3A	705188695
3A	705224104
3A	705227430
3A	705255167
3A	705276431
3A	705352066
3A	705400425
3A	705418567
3A	705481035
3A	705506174
3A	705514028
3A	705559333
3A	705561095
3A	705568329
3A	705702229
3A	705707136
3A	705756903
3A	705811626
3A	705822328
3A	705840682
3A	705854800
3A	705862041
3A	705916807
3A	705927440
3A	705945740
3A	705959874
3A	706100183
3A	706173435
3A	706177813
3A	706187872
3A	706201725
3A	706208258
3A	706253517
3A	706254720
3A	706258484
3A	706272742
3A	706351173
3A	706352879
3A	706355996
3A	706378660
3A	706425210
3A	706429350
3A	706438733
3A	706457962
3A	706598072
3A	706612248
3A	706624577
3A	706628745
3A	706640459
3A	706693888
3A	706762569
3A	706767738
3A	706828914
3A	706833941
3A	707170787
3A	707180924
3A	707214112
3A	707223638
3A	707986549
3A	708043075
3A	708044844
3A	708064532
3A	708071436
3A	708076436
3A	708099749
3A	708106431
3A	708113596
3A	708232515
3A	708322684
3A	708362352
3A	708365384
3A	708369638
3A	708373967
3A	708563288
3A	708620555
3A	708743069
3A	708745035
3A	708864144
3A	708921485
3A	708925756
3A	708982039
3A	708983929
3A	709156392
3A	709174564
3A	709268608
3A	709272094
3A	709315027
3A	709347080
3A	709349017
3A	709351298
3A	709355947
3A	709360307
3A	709420877
3A	709492042
3A	709582213
3A	709585483
3A	709689547
3A	709745458
3A	709849330
3A	709886712
3A	709892340
3A	709927379
3A	710041484
3A	710163410
3A	710169359
3A	710173403
3A	710176434
3A	710517246
3A	710519439
3A	710521720
3A	710574768
3A	710600617
3A	710680380
3A	714429033
3A	714441124
3A	714445138
3A	714455103
3A	714457499
3A	714463271
3A	714483089
3A	714533838
3A	715448166
3A	715494218
3A	715573133
3A	715633147
3A	715759706
3A	715792793
3A	715800545
3A	715802598
3A	715910709
3A	715923915
3A	715927011
3A	715930306
3A	715933175
3A	716141662
3A	716837923
3A	716899043
3A	716901033
3A	716913243
3A	716926190
3B	1553632
3B	1560961
3B	1563561
3B	1568208
3B	1573437
3B	1575104
3B	1598177
3B	1641679
3B	1643832
3B	1650500
3B	1675991
3B	1679518
3B	1682298
3B	1686889
3B	1690531
3B	1692986
3B	1696424
3B	1698012
3B	1728572
3B	1734168
3B	1735188
3B	1737126
3B	1744775
3B	1831641
3B	1847570
3B	2066195
3B	2067249
3B	2092734
3B	2105740
3B	2106950
3B	2115536
3B	2119035
3B	2166381
3B	2168496
3B	2172957
3B	2174726
3B	8037311
3B	8051936
3B	8056909
3B	8110267
3B	8118346
3B	8205145
3B	8444283
3B	8475075
3B	8486479
3B	8490340
3B	8602714
3B	8621898
3B	8652294
3B	8714524
3B	8717805
3B	11508642
3B	11511672
3B	11513268
3B	11514557
3B	11518448
3B	11526600
3B	11578889
3B	11580364
3B	11588230
3B	11592441
3B	11633295
3B	11640959
3B	11644340
3B	11645985
3B	11684000
3B	11688816
3B	11690460
3B	11691786
3B	11695874
3B	11710172
3B	11714432
3B	11716038
3B	11718931
3B	11730118
3B	11732336
3B	11733919
3B	17362094
3B	17372970
3B	23496237
3B	23500366
3B	23548841
3B	23552371
3B	23557091
3B	23585254
3B	23591265
3B	23593336
3B	23610805
3B	23614941
3B	23622106
3B	23634419
3B	23648781
3B	23660435
3B	23668008
3B	23673707
3B	40441597
3B	40526535
3B	40536762
3B	40624722
3B	40684137
3B	40694915
3B	40708219
3B	40737647
3B	40767283
3B	40777203
3B	40797028
3B	40798718
3B	40820098
3B	40840052
3B	40866522
3B	40870511
3B	40910226
3B	40913669
3B	40929632
3B	40932393
3B	40958125
3B	41001964
3B	41028729
3B	41034358
3B	41048446
3B	41159230
3B	41163904
3B	41234381
3B	41235566
3B	41238339
3B	41239519
3B	41422191
3B	41423012
3B	41430148
3B	41431203
3B	41444794
3B	41454756
3B	41566987
3B	41593003
3B	41626801
3B	41685669
3B	41789467
3B	41792807
3B	41794254
3B	41803666
3B	41810669
3B	41812429
3B	41928903
3B	41986344
3B	42003873
3B	42021687
3B	42039288
3B	42056927
3B	42076427
3B	42123003
3B	42130936
3B	42132202
3B	42156222
3B	42163807
3B	42165120
3B	42186860
3B	42199852
3B	42213004
3B	42268690
3B	42293606
3B	42308215
3B	42329607
3B	42423480
3B	42485553
3B	42623578
3B	42640469
3B	42668729
3B	42836849
3B	42864167
3B	43118703
3B	43151475
3B	43330178
3B	43332319
3B	43347479
3B	43354440
3B	43470698
3B	43478100
3B	43481966
3B	43484509
3B	43515002
3B	43524012
3B	43530780
3B	43583082
3B	43593176
3B	43599968
3B	43716633
3B	43745407
3B	43747789
3B	43775317
3B	43777342
3B	43806059
3B	43807352
3B	43834928
3B	43836910
3B	43865518
3B	43894556
3B	43896633
3B	43925111
3B	43926569
3B	43969942
3B	43990827
3B	44006235
3B	44045429
3B	44060731
3B	44071959
3B	44093557
3B	44107976
3B	44147773
3B	44164055
3B	44206244
3B	44266813
3B	44297736
3B	44312316
3B	44387398
3B	44389422
3B	44409636
3B	44410595
3B	44492765
3B	44495735
3B	44521604
3B	44526038
3B	44537060
3B	44538158
3B	44555802
3B	44560996
3B	44572027
3B	44573185
3B	44575231
3B	44578464
3B	45721151
3B	45852302
3B	45922067
3B	46262596
3B	46271147
3B	46274017
3B	46290141
3B	46295778
3B	46309728
3B	46478174
3B	46480909
3B	46498253
3B	46785892
3B	46790376
3B	46803394
3B	46804756
3B	46806676
3B	46808392
3B	46815044
3B	46954222
3B	46970544
3B	51523660
3B	51541454
3B	51571601
3B	51576857
3B	51730763
3B	51786731
3B	51796450
3B	51820526
3B	51916720
3B	52028640
3B	52086173
3B	52091452
3B	52111244
3B	52262063
3B	52269505
3B	52281438
3B	52282540
3B	52312991
3B	52316997
3B	52332006
3B	52662238
3B	52663550
3B	52691013
3B	52698080
3B	52713930
3B	52842245
3B	52863357
3B	52868291
3B	52951570
3B	52964667
3B	53008428
3B	53017470
3B	53027395
3B	53170768
3B	57323036
3B	57456502
3B	57734762
3B	58684643
3B	58920366
3B	64116599
3B	74925005
3B	74974645
3B	74976534
3B	75001227
3B	75002960
3B	108719350
3B	108720105
3B	130561900
3B	130565403
3B	544951065
3B	591548525
3B	591549981
3B	591611013
3B	591763745
3B	591855877
3B	591865605
3B	645220751
3B	671814643
3B	688300036
3B	688331707
3B	688382936
3B	688422699
3B	688581206
3B	690009686
3B	690058648
3B	700783730
3B	700804568
3B	700806756
3B	701062057
3B	701064792
3B	701067007
3B	701068153
3B	701079435
3B	701082156
3B	701086804
3B	701103199
3B	701117282
3B	701118968
3B	701127635
3B	726881731
3B	726884020
3B	728988132
3B	729282140
3B	729284568
3B	729292348
3B	729300668
3B	729432573
3B	729439280
3B	729477300
3B	729560052
3B	758251198
3B	758251869
3B	758255692
3B	758263280
3B	758351519
3B	758353501
3B	758398912
3B	758606041
3B	758619075
3B	758647561
3B	758683224
3B	758697294
3B	758703680
3B	758705753
3B	758710067
3B	758739694
3B	758782300
3B	758805116
3B	758831149
3B	758856438
3B	758889848
3B	777754688
3B	777919389
3B	778578329
3B	778679773
3B	778752093
3B	778806944
3B	778818014
3B	778836410
3B	779067450
3B	779349807
3B	779397491
3B	780280071
3B	780420182
3B	780421217
3B	780788948
3B	780863424
3B	780917933
3B	780947380
3B	780971196
3B	780985684
3B	780987626
3B	781008762
3B	781035558
3B	781059329
3B	781086186
3B	781109975
3B	781139391
3B	781162362
3B	783349077
3B	783407849
3B	783426180
3B	783428270
3B	783508158
