DATASET_COLORSTRIP							
SEPARATOR TAB							
DATASET_LABEL	Chromosome membership 7 colors						
COLOR	#000000						
STRIP_WIDTH	25						
MARGIN	5						
BORDER_WIDTH	1						
BORDER_COLOR	#000000						
SHOW_INTERNAL	0						
							
LEGEND_TITLE	Chromosome membership						
LEGEND_SHAPES	1	1	1	1	1	1	1
TrturKRN1B02G000670.1	#dd3b3c	1B	1				
TrturKRN1B02G000930.1	#dd3b3c	1B	1				
TrturKRN1B02G001040.1	#dd3b3c	1B	1				
TrturKRN1B02G001830.1	#dd3b3c	1B	1				
TrturKRN1B02G002160.1	#dd3b3c	1B	1				
TrturKRN1B02G002170.1	#dd3b3c	1B	1				
TrturKRN1B02G002330.1	#dd3b3c	1B	1				
TrturKRN1B02G002380.1	#dd3b3c	1B	1				
TrturKRN1B02G002550.1	#dd3b3c	1B	1				
TrturKRN1B02G002830.1	#dd3b3c	1B	1				
TrturKRN1B02G003330.1	#dd3b3c	1B	1				
TrturKRN1B02G003340.1	#dd3b3c	1B	1				
TrturKRN1B02G003480.1	#dd3b3c	1B	1				
TrturKRN1B02G003500.1	#dd3b3c	1B	1				
TrturKRN1B02G003710.1	#dd3b3c	1B	1				
TrturKRN1B02G003720.1	#dd3b3c	1B	1				
TrturKRN1B02G003820.1	#dd3b3c	1B	1				
TrturKRN1B02G003840.1	#dd3b3c	1B	1				
TrturKRN1B02G004040.1	#dd3b3c	1B	1				
TrturKRN1B02G004050.1	#dd3b3c	1B	1				
TrturKRN1B02G004560.1	#dd3b3c	1B	1				
TrturKRN1B02G004590.1	#dd3b3c	1B	1				
TrturKRN1B02G004710.1	#dd3b3c	1B	1				
TrturKRN1B02G004750.1	#dd3b3c	1B	1				
TrturKRN1B02G004800.1	#dd3b3c	1B	1				
TrturKRN1B02G005080.1	#dd3b3c	1B	1				
TrturKRN1B02G006720.1	#dd3b3c	1B	1				
TrturKRN1B02G006760.1	#dd3b3c	1B	1				
TrturKRN1B02G007870.1	#dd3b3c	1B	1				
TrturKRN1B02G008300.1	#dd3b3c	1B	1				
TrturKRN1B02G008830.1	#dd3b3c	1B	1				
TrturKRN1B02G008870.1	#dd3b3c	1B	1				
TrturKRN1B02G009030.1	#dd3b3c	1B	1				
TrturKRN1B02G009780.1	#dd3b3c	1B	1				
TrturKRN1B02G014430.1	#dd3b3c	1B	1				
TrturKRN1B02G015350.1	#dd3b3c	1B	1				
TrturKRN1B02G020650.1	#dd3b3c	1B	1				
TrturKRN1B02G021220.1	#dd3b3c	1B	1				
TrturKRN1B02G033810.1	#dd3b3c	1B	1				
TrturKRN1B02G045690.1	#dd3b3c	1B	1				
TrturKRN1B02G046710.1	#dd3b3c	1B	1				
TrturKRN1B02G053990.1	#dd3b3c	1B	1				
TrturKRN1B02G056385.1	#dd3b3c	1B	1				
TrturKRN1B02G056680.1	#dd3b3c	1B	1				
TrturKRN1B02G058710.1	#dd3b3c	1B	1				
TrturKRN1B02G059220.1	#dd3b3c	1B	1				
TrturKRN1B02G061470.1	#dd3b3c	1B	1				
TrturKRN1B02G061550.1	#dd3b3c	1B	1				
TrturKRN1B02G061740.1	#dd3b3c	1B	1				
TrturKRN1B02G061760.1	#dd3b3c	1B	1				
TrturKRN1B02G061770.1	#dd3b3c	1B	1				
TrturKRN1B02G063310.1	#dd3b3c	1B	1				
TrturKRN1B02G065650.1	#dd3b3c	1B	1				
TrturKRN1B02G066460.1	#dd3b3c	1B	1				
TrturKRN1B02G066840.1	#dd3b3c	1B	1				
TrturKRN1B02G066860.1	#dd3b3c	1B	1				
TrturKRN1B02G067030.1	#dd3b3c	1B	1				
TrturKRN1B02G067060.1	#dd3b3c	1B	1				
TrturKRN1B02G067390.1	#dd3b3c	1B	1				
TrturKRN1B02G067520.1	#dd3b3c	1B	1				
TrturKRN1B02G069490.1	#dd3b3c	1B	1				
TrturKRN1B02G069620.1	#dd3b3c	1B	1				
TrturKRN1B02G069900.1	#dd3b3c	1B	1				
TrturKRN1B02G073430.1	#dd3b3c	1B	1				
TrturKRN1B02G074530.1	#dd3b3c	1B	1				
TrturKRN1B02G074800.1	#dd3b3c	1B	1				
TrturKRN1B02G074880.1	#dd3b3c	1B	1				
TrturKRN1B02G076680.1	#dd3b3c	1B	1				
TrturKRN1B02G077200.1	#dd3b3c	1B	1				
TrturKRN1B02G077690.1	#dd3b3c	1B	1				
TrturKRN1B02G077700.1	#dd3b3c	1B	1				
TrturKRN1B02G078220.1	#dd3b3c	1B	1				
TrturKRN1B02G078260.1	#dd3b3c	1B	1				
TrturKRN1B02G078550.1	#dd3b3c	1B	1				
TrturKRN1B02G078580.1	#dd3b3c	1B	1				
TrturKRN1B02G078590.1	#dd3b3c	1B	1				
TrturKRN1B02G078620.1	#dd3b3c	1B	1				
TrturKRN1B02G078700.1	#dd3b3c	1B	1				
TrturKRN2A02G000480.1	#ffc614	2A	2				
TrturKRN2A02G000550.1	#ffc614	2A	2				
TrturKRN2A02G000670.1	#ffc614	2A	2				
TrturKRN2A02G000790.1	#ffc614	2A	2				
TrturKRN2A02G000840.1	#ffc614	2A	2				
TrturKRN2A02G000880.1	#ffc614	2A	2				
TrturKRN2A02G000930.1	#ffc614	2A	2				
TrturKRN2A02G001290.1	#ffc614	2A	2				
TrturKRN2A02G001820.1	#ffc614	2A	2				
TrturKRN2A02G001830.1	#ffc614	2A	2				
TrturKRN2A02G003920.1	#ffc614	2A	2				
TrturKRN2A02G004600.1	#ffc614	2A	2				
TrturKRN2A02G004630.1	#ffc614	2A	2				
TrturKRN2A02G004650.1	#ffc614	2A	2				
TrturKRN2A02G004670.1	#ffc614	2A	2				
TrturKRN2A02G004690.1	#ffc614	2A	2				
TrturKRN2A02G005000.1	#ffc614	2A	2				
TrturKRN2A02G005010.1	#ffc614	2A	2				
TrturKRN2A02G005060.1	#ffc614	2A	2				
TrturKRN2A02G005070.1	#ffc614	2A	2				
TrturKRN2A02G005090.1	#ffc614	2A	2				
TrturKRN2A02G005150.1	#ffc614	2A	2				
TrturKRN2A02G005170.1	#ffc614	2A	2				
TrturKRN2A02G005240.1	#ffc614	2A	2				
TrturKRN2A02G005280.1	#ffc614	2A	2				
TrturKRN2A02G005290.1	#ffc614	2A	2				
TrturKRN2A02G006610.1	#ffc614	2A	2				
TrturKRN2A02G006630.1	#ffc614	2A	2				
TrturKRN2A02G006650.1	#ffc614	2A	2				
TrturKRN2A02G007510.1	#ffc614	2A	2				
TrturKRN2A02G009150.1	#ffc614	2A	2				
TrturKRN2A02G009600.1	#ffc614	2A	2				
TrturKRN2A02G010020.1	#ffc614	2A	2				
TrturKRN2A02G011180.1	#ffc614	2A	2				
TrturKRN2A02G011280.1	#ffc614	2A	2				
TrturKRN2A02G013810.1	#ffc614	2A	2				
TrturKRN2A02G014280.1	#ffc614	2A	2				
TrturKRN2A02G017310.1	#ffc614	2A	2				
TrturKRN2A02G017340.1	#ffc614	2A	2				
TrturKRN2A02G026740.1	#ffc614	2A	2				
TrturKRN2A02G027280.1	#ffc614	2A	2				
TrturKRN2A02G028830.1	#ffc614	2A	2				
TrturKRN2A02G028880.1	#ffc614	2A	2				
TrturKRN2A02G052250.1	#ffc614	2A	2				
TrturKRN2A02G055450.1	#ffc614	2A	2				
TrturKRN2A02G059860.1	#ffc614	2A	2				
TrturKRN2A02G066080.1	#ffc614	2A	2				
TrturKRN2A02G068140.1	#ffc614	2A	2				
TrturKRN2A02G070520.1	#ffc614	2A	2				
TrturKRN2A02G071640.1	#ffc614	2A	2				
TrturKRN2A02G074840.1	#ffc614	2A	2				
TrturKRN2A02G080390.1	#ffc614	2A	2				
TrturKRN2A02G080420.1	#ffc614	2A	2				
TrturKRN2A02G082330.1	#ffc614	2A	2				
TrturKRN2A02G082420.1	#ffc614	2A	2				
TrturKRN2A02G083450.1	#ffc614	2A	2				
TrturKRN2A02G083980.1	#ffc614	2A	2				
TrturKRN2A02G084750.1	#ffc614	2A	2				
TrturKRN2A02G084830.1	#ffc614	2A	2				
TrturKRN2A02G084850.1	#ffc614	2A	2				
TrturKRN2A02G084860.1	#ffc614	2A	2				
TrturKRN2A02G084900.1	#ffc614	2A	2				
TrturKRN2B02G000290.1	#ffc614	2B	2				
TrturKRN2B02G000740.1	#ffc614	2B	2				
TrturKRN2B02G000750.1	#ffc614	2B	2				
TrturKRN2B02G000830.1	#ffc614	2B	2				
TrturKRN2B02G000890.1	#ffc614	2B	2				
TrturKRN2B02G000960.1	#ffc614	2B	2				
TrturKRN2B02G001010.1	#ffc614	2B	2				
TrturKRN2B02G001100.1	#ffc614	2B	2				
TrturKRN2B02G001190.1	#ffc614	2B	2				
TrturKRN2B02G001330.1	#ffc614	2B	2				
TrturKRN2B02G001350.1	#ffc614	2B	2				
TrturKRN2B02G001620.1	#ffc614	2B	2				
TrturKRN2B02G001660.1	#ffc614	2B	2				
TrturKRN2B02G001750.1	#ffc614	2B	2				
TrturKRN2B02G001850.1	#ffc614	2B	2				
TrturKRN2B02G003150.1	#ffc614	2B	2				
TrturKRN2B02G005960.1	#ffc614	2B	2				
TrturKRN2B02G005980.1	#ffc614	2B	2				
TrturKRN2B02G006030.1	#ffc614	2B	2				
TrturKRN2B02G006440.1	#ffc614	2B	2				
TrturKRN2B02G006460.1	#ffc614	2B	2				
TrturKRN2B02G007100.1	#ffc614	2B	2				
TrturKRN2B02G007130.1	#ffc614	2B	2				
TrturKRN2B02G007260.1	#ffc614	2B	2				
TrturKRN2B02G007290.1	#ffc614	2B	2				
TrturKRN2B02G007310.1	#ffc614	2B	2				
TrturKRN2B02G007340.1	#ffc614	2B	2				
TrturKRN2B02G007345.1	#ffc614	2B	2				
TrturKRN2B02G007400.1	#ffc614	2B	2				
TrturKRN2B02G007430.1	#ffc614	2B	2				
TrturKRN2B02G007490.1	#ffc614	2B	2				
TrturKRN2B02G007580.1	#ffc614	2B	2				
TrturKRN2B02G008030.1	#ffc614	2B	2				
TrturKRN2B02G008180.1	#ffc614	2B	2				
TrturKRN2B02G008190.1	#ffc614	2B	2				
TrturKRN2B02G008200.1	#ffc614	2B	2				
TrturKRN2B02G008220.1	#ffc614	2B	2				
TrturKRN2B02G008350.1	#ffc614	2B	2				
TrturKRN2B02G008380.1	#ffc614	2B	2				
TrturKRN2B02G008430.1	#ffc614	2B	2				
TrturKRN2B02G008450.1	#ffc614	2B	2				
TrturKRN2B02G008460.1	#ffc614	2B	2				
TrturKRN2B02G008490.1	#ffc614	2B	2				
TrturKRN2B02G008500.1	#ffc614	2B	2				
TrturKRN2B02G008560.1	#ffc614	2B	2				
TrturKRN2B02G010180.1	#ffc614	2B	2				
TrturKRN2B02G010190.1	#ffc614	2B	2				
TrturKRN2B02G010250.1	#ffc614	2B	2				
TrturKRN2B02G010750.1	#ffc614	2B	2				
TrturKRN2B02G010800.1	#ffc614	2B	2				
TrturKRN2B02G010810.1	#ffc614	2B	2				
TrturKRN2B02G010830.1	#ffc614	2B	2				
TrturKRN2B02G011240.1	#ffc614	2B	2				
TrturKRN2B02G011260.1	#ffc614	2B	2				
TrturKRN2B02G013200.1	#ffc614	2B	2				
TrturKRN2B02G013210.1	#ffc614	2B	2				
TrturKRN2B02G013220.1	#ffc614	2B	2				
TrturKRN2B02G013230.1	#ffc614	2B	2				
TrturKRN2B02G013460.1	#ffc614	2B	2				
TrturKRN2B02G013720.1	#ffc614	2B	2				
TrturKRN2B02G024520.1	#ffc614	2B	2				
TrturKRN2B02G024650.1	#ffc614	2B	2				
TrturKRN2B02G027960.1	#ffc614	2B	2				
TrturKRN2B02G031990.1	#ffc614	2B	2				
TrturKRN2B02G032260.1	#ffc614	2B	2				
TrturKRN2B02G036100.1	#ffc614	2B	2				
TrturKRN2B02G038340.1	#ffc614	2B	2				
TrturKRN2B02G048110.1	#ffc614	2B	2				
TrturKRN2B02G054590.1	#ffc614	2B	2				
TrturKRN2B02G054600.1	#ffc614	2B	2				
TrturKRN2B02G061370.1	#ffc614	2B	2				
TrturKRN2B02G064150.1	#ffc614	2B	2				
TrturKRN2B02G069010.1	#ffc614	2B	2				
TrturKRN2B02G069750.1	#ffc614	2B	2				
TrturKRN2B02G074100.1	#ffc614	2B	2				
TrturKRN2B02G076600.1	#ffc614	2B	2				
TrturKRN2B02G076880.1	#ffc614	2B	2				
TrturKRN2B02G076940.1	#ffc614	2B	2				
TrturKRN2B02G077030.1	#ffc614	2B	2				
TrturKRN2B02G078250.1	#ffc614	2B	2				
TrturKRN2B02G078330.1	#ffc614	2B	2				
TrturKRN2B02G079380.1	#ffc614	2B	2				
TrturKRN2B02G079470.1	#ffc614	2B	2				
TrturKRN2B02G079500.1	#ffc614	2B	2				
TrturKRN2B02G079850.1	#ffc614	2B	2				
TrturKRN2B02G082070.1	#ffc614	2B	2				
TrturKRN2B02G087430.1	#ffc614	2B	2				
TrturKRN2B02G087450.1	#ffc614	2B	2				
TrturKRN2B02G088080.1	#ffc614	2B	2				
TrturKRN2B02G088550.1	#ffc614	2B	2				
TrturKRN2B02G090730.1	#ffc614	2B	2				
TrturKRN2B02G090910.1	#ffc614	2B	2				
TrturKRN2B02G091690.1	#ffc614	2B	2				
TrturKRN2B02G093630.1	#ffc614	2B	2				
TrturKRN2B02G094450.1	#ffc614	2B	2				
TrturKRN2B02G094490.1	#ffc614	2B	2				
TrturKRN2B02G094498.1	#ffc614	2B	2				
TrturKRN2B02G094500.1	#ffc614	2B	2				
TrturKRN2B02G094510.1	#ffc614	2B	2				
TrturKRN2B02G094630.1	#ffc614	2B	2				
TrturKRN2B02G094670.1	#ffc614	2B	2				
TrturKRN2B02G095550.1	#ffc614	2B	2				
TrturKRN2B02G096150.1	#ffc614	2B	2				
TrturKRN2B02G096900.1	#ffc614	2B	2				
TrturKRN2B02G096950.1	#ffc614	2B	2				
TrturKRN2B02G096970.1	#ffc614	2B	2				
TrturKRN2B02G097000.1	#ffc614	2B	2				
TrturKRN2B02G097010.1	#ffc614	2B	2				
TrturKRN2B02G097130.1	#ffc614	2B	2				
TrturKRN2B02G097190.1	#ffc614	2B	2				
TrturKRN2B02G097350.1	#ffc614	2B	2				
TrturKRN2B02G099270.1	#ffc614	2B	2				
TrturKRN2B02G099510.1	#ffc614	2B	2				
TrturKRN2B02G099990.1	#ffc614	2B	2				
TrturKRN2B02G100040.1	#ffc614	2B	2				
TrturKRN2B02G100540.1	#ffc614	2B	2				
TrturKRN2B02G100940.1	#ffc614	2B	2				
TrturKRN2B02G101070.1	#ffc614	2B	2				
TrturKRN2B02G102395.1	#ffc614	2B	2				
TrturKRN2B02G102487.1	#ffc614	2B	2				
TrturKRN2B02G102530.1	#ffc614	2B	2				
TrturKRN2B02G102540.1	#ffc614	2B	2				
TrturKRN2B02G102592.1	#ffc614	2B	2				
TrturKRN2B02G102630.1	#ffc614	2B	2				
TrturKRN2B02G102710.1	#ffc614	2B	2				
TrturKRN2B02G102740.1	#ffc614	2B	2				
TrturKRN2B02G102770.1	#ffc614	2B	2				
TrturKRN2B02G102790.1	#ffc614	2B	2				
TrturKRN2B02G102800.1	#ffc614	2B	2				
TrturKRN3A02G001300.1	#f8ee52	3A	3				
TrturKRN3A02G001360.1	#f8ee52	3A	3				
TrturKRN3A02G001370.1	#f8ee52	3A	3				
TrturKRN3A02G001530.1	#f8ee52	3A	3				
TrturKRN3A02G001540.1	#f8ee52	3A	3				
TrturKRN3A02G001670.1	#f8ee52	3A	3				
TrturKRN3A02G002200.1	#f8ee52	3A	3				
TrturKRN3A02G002210.1	#f8ee52	3A	3				
TrturKRN3A02G004580.1	#f8ee52	3A	3				
TrturKRN3A02G005900.1	#f8ee52	3A	3				
TrturKRN3A02G006500.1	#f8ee52	3A	3				
TrturKRN3A02G006620.1	#f8ee52	3A	3				
TrturKRN3A02G008440.1	#f8ee52	3A	3				
TrturKRN3A02G010330.1	#f8ee52	3A	3				
TrturKRN3A02G010360.1	#f8ee52	3A	3				
TrturKRN3A02G010420.1	#f8ee52	3A	3				
TrturKRN3A02G010425.1	#f8ee52	3A	3				
TrturKRN3A02G010540.1	#f8ee52	3A	3				
TrturKRN3A02G010550.1	#f8ee52	3A	3				
TrturKRN3A02G010610.1	#f8ee52	3A	3				
TrturKRN3A02G011170.1	#f8ee52	3A	3				
TrturKRN3A02G011190.1	#f8ee52	3A	3				
TrturKRN3A02G012230.1	#f8ee52	3A	3				
TrturKRN3A02G013980.1	#f8ee52	3A	3				
TrturKRN3A02G014060.1	#f8ee52	3A	3				
TrturKRN3A02G041050.1	#f8ee52	3A	3				
TrturKRN3A02G041060.1	#f8ee52	3A	3				
TrturKRN3A02G041080.1	#f8ee52	3A	3				
TrturKRN3A02G041090.1	#f8ee52	3A	3				
TrturKRN3A02G043860.1	#f8ee52	3A	3				
TrturKRN3A02G044380.1	#f8ee52	3A	3				
TrturKRN3A02G044940.1	#f8ee52	3A	3				
TrturKRN3A02G046090.1	#f8ee52	3A	3				
TrturKRN3A02G058720.1	#f8ee52	3A	3				
TrturKRN3A02G059530.1	#f8ee52	3A	3				
TrturKRN3A02G059690.1	#f8ee52	3A	3				
TrturKRN3A02G060960.1	#f8ee52	3A	3				
TrturKRN3A02G061880.1	#f8ee52	3A	3				
TrturKRN3A02G061910.1	#f8ee52	3A	3				
TrturKRN3A02G066200.1	#f8ee52	3A	3				
TrturKRN3A02G066270.1	#f8ee52	3A	3				
TrturKRN3A02G069730.1	#f8ee52	3A	3				
TrturKRN3A02G071710.1	#f8ee52	3A	3				
TrturKRN3A02G071730.1	#f8ee52	3A	3				
TrturKRN3A02G072115.1	#f8ee52	3A	3				
TrturKRN3A02G072120.1	#f8ee52	3A	3				
TrturKRN3A02G074660.1	#f8ee52	3A	3				
TrturKRN3B02G000660.1	#f8ee52	3B	3				
TrturKRN3B02G001550.1	#f8ee52	3B	3				
TrturKRN3B02G001570.1	#f8ee52	3B	3				
TrturKRN3B02G002520.1	#f8ee52	3B	3				
TrturKRN3B02G002540.1	#f8ee52	3B	3				
TrturKRN3B02G002810.1	#f8ee52	3B	3				
TrturKRN3B02G004310.1	#f8ee52	3B	3				
TrturKRN3B02G006860.1	#f8ee52	3B	3				
TrturKRN3B02G007310.1	#f8ee52	3B	3				
TrturKRN3B02G009370.1	#f8ee52	3B	3				
TrturKRN3B02G010820.1	#f8ee52	3B	3				
TrturKRN3B02G014860.1	#f8ee52	3B	3				
TrturKRN3B02G014880.1	#f8ee52	3B	3				
TrturKRN3B02G014940.1	#f8ee52	3B	3				
TrturKRN3B02G015010.1	#f8ee52	3B	3				
TrturKRN3B02G015020.1	#f8ee52	3B	3				
TrturKRN3B02G015110.1	#f8ee52	3B	3				
TrturKRN3B02G015160.1	#f8ee52	3B	3				
TrturKRN3B02G015180.1	#f8ee52	3B	3				
TrturKRN3B02G015370.1	#f8ee52	3B	3				
TrturKRN3B02G015390.1	#f8ee52	3B	3				
TrturKRN3B02G015410.1	#f8ee52	3B	3				
TrturKRN3B02G015440.1	#f8ee52	3B	3				
TrturKRN3B02G015900.1	#f8ee52	3B	3				
TrturKRN3B02G015920.1	#f8ee52	3B	3				
TrturKRN3B02G017440.1	#f8ee52	3B	3				
TrturKRN3B02G018250.1	#f8ee52	3B	3				
TrturKRN3B02G019640.1	#f8ee52	3B	3				
TrturKRN3B02G022930.1	#f8ee52	3B	3				
TrturKRN3B02G048520.1	#f8ee52	3B	3				
TrturKRN3B02G048540.1	#f8ee52	3B	3				
TrturKRN3B02G048560.1	#f8ee52	3B	3				
TrturKRN3B02G051910.1	#f8ee52	3B	3				
TrturKRN3B02G052670.1	#f8ee52	3B	3				
TrturKRN3B02G053290.1	#f8ee52	3B	3				
TrturKRN3B02G053840.1	#f8ee52	3B	3				
TrturKRN3B02G053890.1	#f8ee52	3B	3				
TrturKRN3B02G054540.1	#f8ee52	3B	3				
TrturKRN3B02G068910.1	#f8ee52	3B	3				
TrturKRN3B02G069530.1	#f8ee52	3B	3				
TrturKRN3B02G069590.1	#f8ee52	3B	3				
TrturKRN3B02G069620.1	#f8ee52	3B	3				
TrturKRN3B02G071190.1	#f8ee52	3B	3				
TrturKRN3B02G071200.1	#f8ee52	3B	3				
TrturKRN3B02G072590.1	#f8ee52	3B	3				
TrturKRN3B02G073600.1	#f8ee52	3B	3				
TrturKRN3B02G074570.1	#f8ee52	3B	3				
TrturKRN3B02G076810.1	#f8ee52	3B	3				
TrturKRN3B02G076830.1	#f8ee52	3B	3				
TrturKRN3B02G077810.1	#f8ee52	3B	3				
TrturKRN3B02G077830.1	#f8ee52	3B	3				
TrturKRN3B02G078990.1	#f8ee52	3B	3				
TrturKRN3B02G079010.1	#f8ee52	3B	3				
TrturKRN3B02G079030.1	#f8ee52	3B	3				
TrturKRN3B02G079050.1	#f8ee52	3B	3				
TrturKRN3B02G079090.1	#f8ee52	3B	3				
TrturKRN3B02G079140.1	#f8ee52	3B	3				
TrturKRN3B02G081220.1	#f8ee52	3B	3				
TrturKRN3B02G082090.1	#f8ee52	3B	3				
TrturKRN3B02G083320.1	#f8ee52	3B	3				
TrturKRN3B02G083360.1	#f8ee52	3B	3				
TrturKRN3B02G084320.1	#f8ee52	3B	3				
TrturKRN3B02G084750.1	#f8ee52	3B	3				
TrturKRN3B02G084760.1	#f8ee52	3B	3				
TrturKRN3B02G084860.1	#f8ee52	3B	3				
TrturKRN3B02G084910.1	#f8ee52	3B	3				
TrturKRN3B02G084930.1	#f8ee52	3B	3				
TrturKRN3B02G084940.1	#f8ee52	3B	3				
TrturKRN3B02G089950.1	#f8ee52	3B	3				
TrturKRN3B02G090020.1	#f8ee52	3B	3				
TrturKRN3B02G090050.1	#f8ee52	3B	3				
TrturKRN3B02G090350.1	#f8ee52	3B	3				
TrturKRN3B02G090370.1	#f8ee52	3B	3				
TrturKRN3B02G091030.1	#f8ee52	3B	3				
TrturKRN3B02G091590.1	#f8ee52	3B	3				
TrturKRN3B02G092640.1	#f8ee52	3B	3				
TrturKRN3B02G092690.1	#f8ee52	3B	3				
TrturKRN3B02G092730.1	#f8ee52	3B	3				
TrturKRN3B02G092740.1	#f8ee52	3B	3				
TrturKRN3B02G092840.1	#f8ee52	3B	3				
TrturKRN3B02G092850.1	#f8ee52	3B	3				
TrturKRN3B02G092900.1	#f8ee52	3B	3				
TrturKRN3B02G092920.1	#f8ee52	3B	3				
TrturKRN3B02G092940.1	#f8ee52	3B	3				
TrturKRN3B02G092950.1	#f8ee52	3B	3				
TrturKRN3B02G093030.1	#f8ee52	3B	3				
TrturKRN3B02G093070.1	#f8ee52	3B	3				
TrturKRN3B02G094020.1	#f8ee52	3B	3				
TrturKRN3B02G094170.1	#f8ee52	3B	3				
TrturKRN3B02G095330.1	#f8ee52	3B	3				
TrturKRN3B02G095570.1	#f8ee52	3B	3				
TrturKRN3B02G095850.1	#f8ee52	3B	3				
TrturKRN3B02G096300.1	#f8ee52	3B	3				
TrturKRN3B02G096750.1	#f8ee52	3B	3				
TrturKRN3B02G097420.1	#f8ee52	3B	3				
TrturKRN3B02G097430.1	#f8ee52	3B	3				
TrturKRN3B02G097490.1	#f8ee52	3B	3				
TrturKRN4A02G003300.1	#61bf81	4A	4				
TrturKRN4A02G010640.1	#61bf81	4A	4				
TrturKRN4A02G023040.1	#61bf81	4A	4				
TrturKRN4A02G025670.1	#61bf81	4A	4				
TrturKRN4A02G027410.1	#61bf81	4A	4				
TrturKRN4A02G029700.1	#61bf81	4A	4				
TrturKRN4A02G029770.1	#61bf81	4A	4				
TrturKRN4A02G029820.1	#61bf81	4A	4				
TrturKRN4A02G029830.1	#61bf81	4A	4				
TrturKRN4A02G041720.1	#61bf81	4A	4				
TrturKRN4A02G041780.1	#61bf81	4A	4				
TrturKRN4A02G041870.1	#61bf81	4A	4				
TrturKRN4A02G042400.1	#61bf81	4A	4				
TrturKRN4A02G042410.1	#61bf81	4A	4				
TrturKRN4A02G042650.1	#61bf81	4A	4				
